Notes,Year,Year Code,ICD-10 113 Cause List,ICD-10 113 Cause List Code,County,County Code,Race,Race Code,Gender,Gender Code,Deaths,Population,Crude Rate
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Alameda County, CA",6001,Asian or Pacific Islander,A-PI,Female,F,15,204139,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Alameda County, CA",6001,Asian or Pacific Islander,A-PI,Male,M,13,189589,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Alameda County, CA",6001,Black or African American,2054-5,Female,F,30,112599,26.6
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Alameda County, CA",6001,Black or African American,2054-5,Male,M,21,98714,21.3
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Alameda County, CA",6001,White,2106-3,Female,F,73,410372,17.8
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Alameda County, CA",6001,White,2106-3,Male,M,81,411279,19.7
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Butte County, CA",6007,White,2106-3,Female,F,28,99771,28.1
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Butte County, CA",6007,White,2106-3,Male,M,34,97029,35
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Contra Costa County, CA",6013,Black or African American,2054-5,Female,F,11,55761,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Contra Costa County, CA",6013,White,2106-3,Female,F,92,370516,24.8
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Contra Costa County, CA",6013,White,2106-3,Male,M,77,361925,21.3
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"El Dorado County, CA",6017,White,2106-3,Female,F,26,82539,31.5
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"El Dorado County, CA",6017,White,2106-3,Male,M,12,82647,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Fresno County, CA",6019,White,2106-3,Female,F,96,355993,27
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Fresno County, CA",6019,White,2106-3,Male,M,68,356912,19.1
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Humboldt County, CA",6023,White,2106-3,Female,F,15,58862,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Humboldt County, CA",6023,White,2106-3,Male,M,12,58316,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Kern County, CA",6029,White,2106-3,Female,F,67,326194,20.5
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Kern County, CA",6029,White,2106-3,Male,M,72,346831,20.8
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Los Angeles County, CA",6037,Asian or Pacific Islander,A-PI,Female,F,131,745149,17.6
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Los Angeles County, CA",6037,Asian or Pacific Islander,A-PI,Male,M,152,669290,22.7
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Los Angeles County, CA",6037,Black or African American,2054-5,Female,F,130,523263,24.8
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Los Angeles County, CA",6037,Black or African American,2054-5,Male,M,120,462314,26
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Los Angeles County, CA",6037,White,2106-3,Female,F,934,3596452,26
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Los Angeles County, CA",6037,White,2106-3,Male,M,809,3599903,22.5
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Madera County, CA",6039,White,2106-3,Female,F,13,65047,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Madera County, CA",6039,White,2106-3,Male,M,10,62364,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Marin County, CA",6041,White,2106-3,Female,F,26,111225,23.4
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Marin County, CA",6041,White,2106-3,Male,M,23,107017,21.5
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Merced County, CA",6047,White,2106-3,Female,F,13,103494,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Merced County, CA",6047,White,2106-3,Male,M,10,104755,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Monterey County, CA",6053,White,2106-3,Female,F,29,165842,17.5
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Monterey County, CA",6053,White,2106-3,Male,M,23,176480,13
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Napa County, CA",6055,White,2106-3,Female,F,17,58652,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Napa County, CA",6055,White,2106-3,Male,M,24,58493,41
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Nevada County, CA",6057,White,2106-3,Female,F,11,47625,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Nevada County, CA",6057,White,2106-3,Male,M,10,46536,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Orange County, CA",6059,Asian or Pacific Islander,A-PI,Female,F,25,271729,9.2
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Orange County, CA",6059,Asian or Pacific Islander,A-PI,Male,M,32,251976,12.7
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Orange County, CA",6059,White,2106-3,Female,F,291,1160873,25.1
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Orange County, CA",6059,White,2106-3,Male,M,243,1150444,21.1
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Placer County, CA",6061,White,2106-3,Female,F,43,149434,28.8
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Placer County, CA",6061,White,2106-3,Male,M,31,143408,21.6
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Riverside County, CA",6065,White,2106-3,Female,F,150,847672,17.7
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Riverside County, CA",6065,White,2106-3,Male,M,132,850224,15.5
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Sacramento County, CA",6067,Asian or Pacific Islander,A-PI,Female,F,12,112879,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Sacramento County, CA",6067,Black or African American,2054-5,Female,F,11,83794,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Sacramento County, CA",6067,Black or African American,2054-5,Male,M,10,80061,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Sacramento County, CA",6067,White,2106-3,Female,F,158,489538,32.3
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Sacramento County, CA",6067,White,2106-3,Male,M,134,473849,28.3
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Bernardino County, CA",6071,Black or African American,2054-5,Female,F,11,104057,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Bernardino County, CA",6071,White,2106-3,Female,F,136,793322,17.1
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Bernardino County, CA",6071,White,2106-3,Male,M,136,798894,17
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Diego County, CA",6073,Asian or Pacific Islander,A-PI,Female,F,13,185921,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Diego County, CA",6073,Asian or Pacific Islander,A-PI,Male,M,17,166893,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Diego County, CA",6073,White,2106-3,Female,F,171,1174569,14.6
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Diego County, CA",6073,White,2106-3,Male,M,181,1195313,15.1
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Francisco County, CA",6075,Asian or Pacific Islander,A-PI,Female,F,34,143899,23.6
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Francisco County, CA",6075,Asian or Pacific Islander,A-PI,Male,M,42,127008,33.1
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Francisco County, CA",6075,Black or African American,2054-5,Female,F,12,28589,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Francisco County, CA",6075,White,2106-3,Female,F,90,204034,44.1
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Francisco County, CA",6075,White,2106-3,Male,M,70,229277,30.5
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Joaquin County, CA",6077,White,2106-3,Female,F,56,240357,23.3
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Joaquin County, CA",6077,White,2106-3,Male,M,45,242525,18.6
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Luis Obispo County, CA",6079,White,2106-3,Female,F,24,118355,20.3
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Luis Obispo County, CA",6079,White,2106-3,Male,M,22,121759,18.1
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Mateo County, CA",6081,Asian or Pacific Islander,A-PI,Female,F,11,97943,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Mateo County, CA",6081,Asian or Pacific Islander,A-PI,Male,M,16,87768,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Mateo County, CA",6081,White,2106-3,Female,F,102,237172,43
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"San Mateo County, CA",6081,White,2106-3,Male,M,68,235278,28.9
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Santa Barbara County, CA",6083,White,2106-3,Female,F,44,181527,24.2
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Santa Barbara County, CA",6083,White,2106-3,Male,M,33,182809,18.1
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Santa Clara County, CA",6085,Asian or Pacific Islander,A-PI,Female,F,20,277311,7.2
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Santa Clara County, CA",6085,Asian or Pacific Islander,A-PI,Male,M,41,269919,15.2
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Santa Clara County, CA",6085,White,2106-3,Female,F,147,525001,28
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Santa Clara County, CA",6085,White,2106-3,Male,M,121,541122,22.4
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Santa Cruz County, CA",6087,White,2106-3,Female,F,16,115162,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Santa Cruz County, CA",6087,White,2106-3,Male,M,14,114741,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Shasta County, CA",6089,White,2106-3,Female,F,29,82941,35
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Shasta County, CA",6089,White,2106-3,Male,M,15,79699,Unreliable
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Solano County, CA",6095,White,2106-3,Female,F,44,129413,34
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Solano County, CA",6095,White,2106-3,Male,M,37,133551,27.7
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Sonoma County, CA",6097,White,2106-3,Female,F,66,214748,30.7
,2006,2006,#Influenza and pneumonia (J09-J18),GR113-076,"Sonoma County, CA",6097,White,2106-3,Male,M,40,208492,19.2
