,Year,Year Code,ICD-10 113 Cause List,ICD-10 113 Cause List Code,County,County Code,Race,Race Code,Gender,Gender Code,Deaths,Population,Crude Rate,State_Abbreviation
0,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,Asian or Pacific Islander,A-PI,Female,F,15.0,204139.0,Unreliable, CA
1,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,Asian or Pacific Islander,A-PI,Male,M,13.0,189589.0,Unreliable, CA
2,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,Black or African American,2054-5,Female,F,30.0,112599.0,26.6, CA
3,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,Black or African American,2054-5,Male,M,21.0,98714.0,21.3, CA
4,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,White,2106-3,Female,F,73.0,410372.0,17.8, CA
5,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,White,2106-3,Male,M,81.0,411279.0,19.7, CA
6,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Butte,6007.0,White,2106-3,Female,F,28.0,99771.0,28.1, CA
7,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Butte,6007.0,White,2106-3,Male,M,34.0,97029.0,35, CA
8,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Contra,6013.0,Black or African American,2054-5,Female,F,11.0,55761.0,Unreliable, CA
9,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Contra,6013.0,White,2106-3,Female,F,92.0,370516.0,24.8, CA
10,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Contra,6013.0,White,2106-3,Male,M,77.0,361925.0,21.3, CA
11,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,El,6017.0,White,2106-3,Female,F,26.0,82539.0,31.5, CA
12,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,El,6017.0,White,2106-3,Male,M,12.0,82647.0,Unreliable, CA
13,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Fresno,6019.0,White,2106-3,Female,F,96.0,355993.0,27, CA
14,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Fresno,6019.0,White,2106-3,Male,M,68.0,356912.0,19.1, CA
15,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Humboldt,6023.0,White,2106-3,Female,F,15.0,58862.0,Unreliable, CA
16,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Humboldt,6023.0,White,2106-3,Male,M,12.0,58316.0,Unreliable, CA
17,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Kern,6029.0,White,2106-3,Female,F,67.0,326194.0,20.5, CA
18,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Kern,6029.0,White,2106-3,Male,M,72.0,346831.0,20.8, CA
19,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Los,6037.0,Asian or Pacific Islander,A-PI,Female,F,131.0,745149.0,17.6, CA
20,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Los,6037.0,Asian or Pacific Islander,A-PI,Male,M,152.0,669290.0,22.7, CA
21,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Los,6037.0,Black or African American,2054-5,Female,F,130.0,523263.0,24.8, CA
22,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Los,6037.0,Black or African American,2054-5,Male,M,120.0,462314.0,26, CA
23,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Los,6037.0,White,2106-3,Female,F,934.0,3596452.0,26, CA
24,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Los,6037.0,White,2106-3,Male,M,809.0,3599903.0,22.5, CA
25,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Madera,6039.0,White,2106-3,Female,F,13.0,65047.0,Unreliable, CA
26,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Madera,6039.0,White,2106-3,Male,M,10.0,62364.0,Unreliable, CA
27,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Marin,6041.0,White,2106-3,Female,F,26.0,111225.0,23.4, CA
28,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Marin,6041.0,White,2106-3,Male,M,23.0,107017.0,21.5, CA
29,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Merced,6047.0,White,2106-3,Female,F,13.0,103494.0,Unreliable, CA
30,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Merced,6047.0,White,2106-3,Male,M,10.0,104755.0,Unreliable, CA
31,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Monterey,6053.0,White,2106-3,Female,F,29.0,165842.0,17.5, CA
32,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Monterey,6053.0,White,2106-3,Male,M,23.0,176480.0,13, CA
33,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Napa,6055.0,White,2106-3,Female,F,17.0,58652.0,Unreliable, CA
34,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Napa,6055.0,White,2106-3,Male,M,24.0,58493.0,41, CA
35,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Nevada,6057.0,White,2106-3,Female,F,11.0,47625.0,Unreliable, CA
36,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Nevada,6057.0,White,2106-3,Male,M,10.0,46536.0,Unreliable, CA
37,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,Asian or Pacific Islander,A-PI,Female,F,25.0,271729.0,9.2, CA
38,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,Asian or Pacific Islander,A-PI,Male,M,32.0,251976.0,12.7, CA
39,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,White,2106-3,Female,F,291.0,1160873.0,25.1, CA
40,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Orange,6059.0,White,2106-3,Male,M,243.0,1150444.0,21.1, CA
41,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Placer,6061.0,White,2106-3,Female,F,43.0,149434.0,28.8, CA
42,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Placer,6061.0,White,2106-3,Male,M,31.0,143408.0,21.6, CA
43,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Riverside,6065.0,White,2106-3,Female,F,150.0,847672.0,17.7, CA
44,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Riverside,6065.0,White,2106-3,Male,M,132.0,850224.0,15.5, CA
45,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,Asian or Pacific Islander,A-PI,Female,F,12.0,112879.0,Unreliable, CA
46,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,Black or African American,2054-5,Female,F,11.0,83794.0,Unreliable, CA
47,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,Black or African American,2054-5,Male,M,10.0,80061.0,Unreliable, CA
48,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,White,2106-3,Female,F,158.0,489538.0,32.3, CA
49,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,Sacramento,6067.0,White,2106-3,Male,M,134.0,473849.0,28.3, CA
50,2006.0,2006.0,#Influenza and pneumonia (J09-J18),GR113-076,San,6071.0,Black or African American,2054-5,Female,F,11.0,104057.0,Unreliable, CA
