Notes,County,County Code,Gender,Gender Code,Year,Year Code,Race,Race Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"Alameda County, CA",6001,Female,F,2006,2006,American Indian or Alaska Native,1002-5,17,9043,188.0 (Unreliable),364.4 (Unreliable),0
,"Alameda County, CA",6001,Female,F,2006,2006,Asian or Pacific Islander,A-PI,667,204139,326.7,397.8,0
,"Alameda County, CA",6001,Female,F,2006,2006,Black or African American,2054-5,1048,112599,930.7,932.3,0
,"Alameda County, CA",6001,Female,F,2006,2006,White,2106-3,3003,410372,731.8,593.8,0.001
,"Alameda County, CA",6001,Female,F,2007,2007,American Indian or Alaska Native,1002-5,19,9388,202.4 (Unreliable),351.2 (Unreliable),0
,"Alameda County, CA",6001,Female,F,2007,2007,Asian or Pacific Islander,A-PI,617,209933,293.9,343.6,0
,"Alameda County, CA",6001,Female,F,2007,2007,Black or African American,2054-5,972,112100,867.1,851.6,0
,"Alameda County, CA",6001,Female,F,2007,2007,White,2106-3,3065,410128,747.3,601.1,0.001
,"Alameda County, CA",6001,Female,F,2008,2008,American Indian or Alaska Native,1002-5,12,10054,119.4 (Unreliable),230.1 (Unreliable),0
,"Alameda County, CA",6001,Female,F,2008,2008,Asian or Pacific Islander,A-PI,724,217317,333.2,386.9,0
,"Alameda County, CA",6001,Female,F,2008,2008,Black or African American,2054-5,940,112156,838.1,821.7,0
,"Alameda County, CA",6001,Female,F,2008,2008,White,2106-3,3018,413139,730.5,582.7,0.001
,"Alameda County, CA",6001,Female,F,2009,2009,American Indian or Alaska Native,1002-5,19,10629,178.8 (Unreliable),335.3 (Unreliable),0
,"Alameda County, CA",6001,Female,F,2009,2009,Asian or Pacific Islander,A-PI,701,223847,313.2,352.3,0
,"Alameda County, CA",6001,Female,F,2009,2009,Black or African American,2054-5,898,113192,793.3,756.6,0
,"Alameda County, CA",6001,Female,F,2009,2009,White,2106-3,2896,416165,695.9,554.4,0.001
,"Alameda County, CA",6001,Female,F,2010,2010,American Indian or Alaska Native,1002-5,16,11135,143.7 (Unreliable),250.9 (Unreliable),0
,"Alameda County, CA",6001,Female,F,2010,2010,Asian or Pacific Islander,A-PI,676,228929,295.3,326.6,0
,"Alameda County, CA",6001,Female,F,2010,2010,Black or African American,2054-5,911,113551,802.3,750.4,0
,"Alameda County, CA",6001,Female,F,2010,2010,White,2106-3,2928,416083,703.7,556.1,0.001
,"Alameda County, CA",6001,Female,F,2011,2011,American Indian or Alaska Native,1002-5,29,11401,254.4,409.7,0
,"Alameda County, CA",6001,Female,F,2011,2011,Asian or Pacific Islander,A-PI,749,237030,316.0,332.6,0
,"Alameda County, CA",6001,Female,F,2011,2011,Black or African American,2054-5,899,113353,793.1,745.4,0
,"Alameda County, CA",6001,Female,F,2011,2011,White,2106-3,2926,419422,697.6,541.3,0.001
,"Alameda County, CA",6001,Female,F,2012,2012,American Indian or Alaska Native,1002-5,24,11335,211.7,355.4,0
,"Alameda County, CA",6001,Female,F,2012,2012,Asian or Pacific Islander,A-PI,807,244992,329.4,337.0,0
,"Alameda County, CA",6001,Female,F,2012,2012,Black or African American,2054-5,921,113333,812.6,742.7,0
,"Alameda County, CA",6001,Female,F,2012,2012,White,2106-3,3047,424057,718.5,552.7,0.001
,"Alameda County, CA",6001,Female,F,2013,2013,American Indian or Alaska Native,1002-5,19,11327,167.7 (Unreliable),239.1 (Unreliable),0
,"Alameda County, CA",6001,Female,F,2013,2013,Asian or Pacific Islander,A-PI,829,253904,326.5,326.0,0
,"Alameda County, CA",6001,Female,F,2013,2013,Black or African American,2054-5,933,112818,827.0,745.8,0
,"Alameda County, CA",6001,Female,F,2013,2013,White,2106-3,2928,428549,683.2,522.2,0.001
,"Alameda County, CA",6001,Female,F,2014,2014,American Indian or Alaska Native,1002-5,20,11323,176.6,242.4,0
,"Alameda County, CA",6001,Female,F,2014,2014,Asian or Pacific Islander,A-PI,818,263505,310.4,303.2,0
,"Alameda County, CA",6001,Female,F,2014,2014,Black or African American,2054-5,890,111813,796.0,710.6,0
,"Alameda County, CA",6001,Female,F,2014,2014,White,2106-3,2930,433977,675.2,517.3,0.001
,"Alameda County, CA",6001,Female,F,2015,2015,American Indian or Alaska Native,1002-5,23,11460,200.7,257.7,0
,"Alameda County, CA",6001,Female,F,2015,2015,Asian or Pacific Islander,A-PI,985,272375,361.6,343.0,0
,"Alameda County, CA",6001,Female,F,2015,2015,Black or African American,2054-5,937,111140,843.1,738.3,0
,"Alameda County, CA",6001,Female,F,2015,2015,White,2106-3,3061,437178,700.2,531.4,0.001
,"Alameda County, CA",6001,Female,F,2016,2016,American Indian or Alaska Native,1002-5,14,11487,121.9 (Unreliable),178.0 (Unreliable),0
,"Alameda County, CA",6001,Female,F,2016,2016,Asian or Pacific Islander,A-PI,948,280406,338.1,321.2,0
,"Alameda County, CA",6001,Female,F,2016,2016,Black or African American,2054-5,961,109739,875.7,756.1,0
,"Alameda County, CA",6001,Female,F,2016,2016,White,2106-3,2998,437366,685.5,519.4,0.001
,"Alameda County, CA",6001,Male,M,2006,2006,American Indian or Alaska Native,1002-5,22,8749,251.5,489.3,0
,"Alameda County, CA",6001,Male,M,2006,2006,Asian or Pacific Islander,A-PI,689,189589,363.4,556.3,0
,"Alameda County, CA",6001,Male,M,2006,2006,Black or African American,2054-5,996,98714,1009.0,1278.7,0
,"Alameda County, CA",6001,Male,M,2006,2006,White,2106-3,2866,411279,696.9,831.7,0.001
,"Alameda County, CA",6001,Male,M,2007,2007,American Indian or Alaska Native,1002-5,17,9376,181.3 (Unreliable),357.8 (Unreliable),0
,"Alameda County, CA",6001,Male,M,2007,2007,Asian or Pacific Islander,A-PI,683,194546,351.1,513.5,0
,"Alameda County, CA",6001,Male,M,2007,2007,Black or African American,2054-5,1022,98521,1037.3,1284.4,0
,"Alameda County, CA",6001,Male,M,2007,2007,White,2106-3,2934,411723,712.6,834.3,0.001
,"Alameda County, CA",6001,Male,M,2008,2008,American Indian or Alaska Native,1002-5,25,9943,251.4,629.7,0
,"Alameda County, CA",6001,Male,M,2008,2008,Asian or Pacific Islander,A-PI,671,200956,333.9,483.2,0
,"Alameda County, CA",6001,Male,M,2008,2008,Black or African American,2054-5,1035,99138,1044.0,1298.9,0
,"Alameda County, CA",6001,Male,M,2008,2008,White,2106-3,2813,414505,678.6,786.2,0.001
,"Alameda County, CA",6001,Male,M,2009,2009,American Indian or Alaska Native,1002-5,18,10623,169.4 (Unreliable),333.2 (Unreliable),0
,"Alameda County, CA",6001,Male,M,2009,2009,Asian or Pacific Islander,A-PI,713,206944,344.5,488.1,0
,"Alameda County, CA",6001,Male,M,2009,2009,Black or African American,2054-5,890,100199,888.2,1106.1,0
,"Alameda County, CA",6001,Male,M,2009,2009,White,2106-3,2768,416940,663.9,758.4,0.001
,"Alameda County, CA",6001,Male,M,2010,2010,American Indian or Alaska Native,1002-5,14,11190,125.1 (Unreliable),256.1 (Unreliable),0
,"Alameda County, CA",6001,Male,M,2010,2010,Asian or Pacific Islander,A-PI,750,211159,355.2,489.5,0
,"Alameda County, CA",6001,Male,M,2010,2010,Black or African American,2054-5,883,100934,874.8,1061.4,0
,"Alameda County, CA",6001,Male,M,2010,2010,White,2106-3,2737,417290,655.9,747.9,0.001
,"Alameda County, CA",6001,Male,M,2011,2011,American Indian or Alaska Native,1002-5,21,11516,182.4,326.7,0
,"Alameda County, CA",6001,Male,M,2011,2011,Asian or Pacific Islander,A-PI,784,218194,359.3,471.7,0
,"Alameda County, CA",6001,Male,M,2011,2011,Black or African American,2054-5,904,100640,898.3,1073.5,0
,"Alameda County, CA",6001,Male,M,2011,2011,White,2106-3,2866,420463,681.6,750.1,0.001
,"Alameda County, CA",6001,Male,M,2012,2012,American Indian or Alaska Native,1002-5,26,11449,227.1,409.3,0
,"Alameda County, CA",6001,Male,M,2012,2012,Asian or Pacific Islander,A-PI,802,225249,356.1,452.8,0
,"Alameda County, CA",6001,Male,M,2012,2012,Black or African American,2054-5,910,100571,904.8,1065.4,0
,"Alameda County, CA",6001,Male,M,2012,2012,White,2106-3,2885,424556,679.5,735.4,0.001
,"Alameda County, CA",6001,Male,M,2013,2013,American Indian or Alaska Native,1002-5,26,11554,225.0,343.9,0
,"Alameda County, CA",6001,Male,M,2013,2013,Asian or Pacific Islander,A-PI,889,233540,380.7,478.3,0
,"Alameda County, CA",6001,Male,M,2013,2013,Black or African American,2054-5,915,100146,913.7,1061.6,0
,"Alameda County, CA",6001,Male,M,2013,2013,White,2106-3,3051,429388,710.5,761.2,0.001
,"Alameda County, CA",6001,Male,M,2014,2014,American Indian or Alaska Native,1002-5,24,11568,207.5,311.0,0
,"Alameda County, CA",6001,Male,M,2014,2014,Asian or Pacific Islander,A-PI,869,242222,358.8,433.3,0
,"Alameda County, CA",6001,Male,M,2014,2014,Black or African American,2054-5,880,99985,880.1,987.8,0
,"Alameda County, CA",6001,Male,M,2014,2014,White,2106-3,3001,434475,690.7,738.0,0.001
,"Alameda County, CA",6001,Male,M,2015,2015,American Indian or Alaska Native,1002-5,29,11735,247.1,484.7,0
,"Alameda County, CA",6001,Male,M,2015,2015,Asian or Pacific Islander,A-PI,892,250633,355.9,428.2,0
,"Alameda County, CA",6001,Male,M,2015,2015,Black or African American,2054-5,918,99819,919.7,1017.9,0
,"Alameda County, CA",6001,Male,M,2015,2015,White,2106-3,2959,438407,674.9,714.5,0.001
,"Alameda County, CA",6001,Male,M,2016,2016,American Indian or Alaska Native,1002-5,21,11691,179.6,243.9,0
,"Alameda County, CA",6001,Male,M,2016,2016,Asian or Pacific Islander,A-PI,996,258102,385.9,454.8,0
,"Alameda County, CA",6001,Male,M,2016,2016,Black or African American,2054-5,948,99256,955.1,1037.2,0
,"Alameda County, CA",6001,Male,M,2016,2016,White,2106-3,3034,439657,690.1,724.0,0.001
,"Amador County, CA",6005,Female,F,2006,2006,White,2106-3,170,16569,1026.0,603.2,0
,"Amador County, CA",6005,Female,F,2007,2007,White,2106-3,176,16731,1051.9,605.7,0
,"Amador County, CA",6005,Female,F,2008,2008,White,2106-3,202,16645,1213.6,704.2,0
,"Amador County, CA",6005,Female,F,2009,2009,White,2106-3,203,16557,1226.1,674.9,0
,"Amador County, CA",6005,Female,F,2010,2010,White,2106-3,211,16501,1278.7,725.2,0
,"Amador County, CA",6005,Female,F,2011,2011,White,2106-3,210,16325,1286.4,664.7,0
,"Amador County, CA",6005,Female,F,2012,2012,White,2106-3,201,16195,1241.1,616.4,0
,"Amador County, CA",6005,Female,F,2013,2013,White,2106-3,202,16152,1250.6,633.7,0
,"Amador County, CA",6005,Female,F,2014,2014,White,2106-3,186,16197,1148.4,588.9,0
,"Amador County, CA",6005,Female,F,2015,2015,White,2106-3,186,16271,1143.1,562.4,0
,"Amador County, CA",6005,Female,F,2016,2016,White,2106-3,183,16396,1116.1,554.5,0
,"Amador County, CA",6005,Male,M,2006,2006,White,2106-3,231,18944,1219.4,950.5,0
,"Amador County, CA",6005,Male,M,2007,2007,White,2106-3,204,19214,1061.7,796.1,0
,"Amador County, CA",6005,Male,M,2008,2008,White,2106-3,210,18860,1113.5,842.5,0
,"Amador County, CA",6005,Male,M,2009,2009,White,2106-3,192,18858,1018.1,739.3,0
,"Amador County, CA",6005,Male,M,2010,2010,White,2106-3,217,18806,1153.9,846.1,0
,"Amador County, CA",6005,Male,M,2011,2011,White,2106-3,212,18403,1152.0,783.4,0
,"Amador County, CA",6005,Male,M,2012,2012,White,2106-3,222,18191,1220.4,785.4,0
,"Amador County, CA",6005,Male,M,2013,2013,White,2106-3,196,17816,1100.1,705.5,0
,"Amador County, CA",6005,Male,M,2014,2014,White,2106-3,242,17853,1355.5,822.4,0
,"Amador County, CA",6005,Male,M,2015,2015,White,2106-3,232,17972,1290.9,798.6,0
,"Amador County, CA",6005,Male,M,2016,2016,White,2106-3,250,18090,1382.0,864.9,0
,"Butte County, CA",6007,Female,F,2006,2006,Asian or Pacific Islander,A-PI,16,4950,323.2 (Unreliable),584.7 (Unreliable),0
,"Butte County, CA",6007,Female,F,2006,2006,Black or African American,2054-5,12,2007,597.9 (Unreliable),1391.4 (Unreliable),0
,"Butte County, CA",6007,Female,F,2006,2006,White,2106-3,1071,99771,1073.5,708.3,0
,"Butte County, CA",6007,Female,F,2007,2007,American Indian or Alaska Native,1002-5,17,2890,588.2 (Unreliable),831.7 (Unreliable),0
,"Butte County, CA",6007,Female,F,2007,2007,Asian or Pacific Islander,A-PI,15,5120,293.0 (Unreliable),517.2 (Unreliable),0
,"Butte County, CA",6007,Female,F,2007,2007,White,2106-3,1066,99802,1068.1,697.1,0
,"Butte County, CA",6007,Female,F,2008,2008,American Indian or Alaska Native,1002-5,13,3022,430.2 (Unreliable),592.0 (Unreliable),0
,"Butte County, CA",6007,Female,F,2008,2008,Asian or Pacific Islander,A-PI,21,5250,400.0,673.7,0
,"Butte County, CA",6007,Female,F,2008,2008,Black or African American,2054-5,10,2144,466.4 (Unreliable),848.7 (Unreliable),0
,"Butte County, CA",6007,Female,F,2008,2008,White,2106-3,1112,100299,1108.7,721.1,0
,"Butte County, CA",6007,Female,F,2009,2009,American Indian or Alaska Native,1002-5,10,3123,320.2 (Unreliable),461.2 (Unreliable),0
,"Butte County, CA",6007,Female,F,2009,2009,Asian or Pacific Islander,A-PI,16,5342,299.5 (Unreliable),494.0 (Unreliable),0
,"Butte County, CA",6007,Female,F,2009,2009,White,2106-3,1126,100234,1123.4,734.8,0
,"Butte County, CA",6007,Female,F,2010,2010,American Indian or Alaska Native,1002-5,14,3197,437.9 (Unreliable),709.1 (Unreliable),0
,"Butte County, CA",6007,Female,F,2010,2010,Asian or Pacific Islander,A-PI,19,5413,351.0 (Unreliable),602.0 (Unreliable),0
,"Butte County, CA",6007,Female,F,2010,2010,Black or African American,2054-5,11,2318,474.5 (Unreliable),783.9 (Unreliable),0
,"Butte County, CA",6007,Female,F,2010,2010,White,2106-3,1052,100141,1050.5,680.8,0
,"Butte County, CA",6007,Female,F,2011,2011,American Indian or Alaska Native,1002-5,10,3246,308.1 (Unreliable),465.7 (Unreliable),0
,"Butte County, CA",6007,Female,F,2011,2011,Asian or Pacific Islander,A-PI,16,5650,283.2 (Unreliable),446.7 (Unreliable),0
,"Butte County, CA",6007,Female,F,2011,2011,Black or African American,2054-5,21,2499,840.3,1312.2,0
,"Butte County, CA",6007,Female,F,2011,2011,White,2106-3,1030,99653,1033.6,651.2,0
,"Butte County, CA",6007,Female,F,2012,2012,Asian or Pacific Islander,A-PI,15,5687,263.8 (Unreliable),388.0 (Unreliable),0
,"Butte County, CA",6007,Female,F,2012,2012,White,2106-3,1076,100226,1073.6,669.4,0
,"Butte County, CA",6007,Female,F,2013,2013,American Indian or Alaska Native,1002-5,18,3379,532.7 (Unreliable),792.7 (Unreliable),0
,"Butte County, CA",6007,Female,F,2013,2013,Asian or Pacific Islander,A-PI,21,5731,366.4,472.9,0
,"Butte County, CA",6007,Female,F,2013,2013,White,2106-3,1044,100573,1038.1,636.0,0
,"Butte County, CA",6007,Female,F,2014,2014,American Indian or Alaska Native,1002-5,12,3456,347.2 (Unreliable),533.8 (Unreliable),0
,"Butte County, CA",6007,Female,F,2014,2014,Asian or Pacific Islander,A-PI,16,5908,270.8 (Unreliable),396.4 (Unreliable),0
,"Butte County, CA",6007,Female,F,2014,2014,White,2106-3,993,101283,980.4,609.6,0
,"Butte County, CA",6007,Female,F,2015,2015,American Indian or Alaska Native,1002-5,18,3485,516.5 (Unreliable),721.5 (Unreliable),0
,"Butte County, CA",6007,Female,F,2015,2015,Asian or Pacific Islander,A-PI,16,6079,263.2 (Unreliable),379.0 (Unreliable),0
,"Butte County, CA",6007,Female,F,2015,2015,Black or African American,2054-5,10,2647,377.8 (Unreliable),535.6 (Unreliable),0
,"Butte County, CA",6007,Female,F,2015,2015,White,2106-3,1132,101633,1113.8,677.1,0
,"Butte County, CA",6007,Female,F,2016,2016,American Indian or Alaska Native,1002-5,20,3492,572.7,794.1,0
,"Butte County, CA",6007,Female,F,2016,2016,Asian or Pacific Islander,A-PI,16,6275,255.0 (Unreliable),338.7 (Unreliable),0
,"Butte County, CA",6007,Female,F,2016,2016,Black or African American,2054-5,15,2727,550.1 (Unreliable),717.3 (Unreliable),0
,"Butte County, CA",6007,Female,F,2016,2016,White,2106-3,1139,102133,1115.2,679.4,0
,"Butte County, CA",6007,Male,M,2006,2006,American Indian or Alaska Native,1002-5,12,2823,425.1 (Unreliable),714.9 (Unreliable),0
,"Butte County, CA",6007,Male,M,2006,2006,Asian or Pacific Islander,A-PI,14,4945,283.1 (Unreliable),777.5 (Unreliable),0
,"Butte County, CA",6007,Male,M,2006,2006,Black or African American,2054-5,15,2478,605.3 (Unreliable),1164.2 (Unreliable),0
,"Butte County, CA",6007,Male,M,2006,2006,White,2106-3,1187,97029,1223.3,1101.0,0
,"Butte County, CA",6007,Male,M,2007,2007,American Indian or Alaska Native,1002-5,19,3015,630.2 (Unreliable),1033.5 (Unreliable),0
,"Butte County, CA",6007,Male,M,2007,2007,Asian or Pacific Islander,A-PI,18,5074,354.7 (Unreliable),1964.0 (Unreliable),0
,"Butte County, CA",6007,Male,M,2007,2007,Black or African American,2054-5,11,2578,426.7 (Unreliable),707.7 (Unreliable),0
,"Butte County, CA",6007,Male,M,2007,2007,White,2106-3,1113,96904,1148.6,1022.4,0
,"Butte County, CA",6007,Male,M,2008,2008,American Indian or Alaska Native,1002-5,19,3009,631.4 (Unreliable),1068.1 (Unreliable),0
,"Butte County, CA",6007,Male,M,2008,2008,Asian or Pacific Islander,A-PI,10,5210,191.9 (Unreliable),440.1 (Unreliable),0
,"Butte County, CA",6007,Male,M,2008,2008,Black or African American,2054-5,12,2654,452.1 (Unreliable),898.1 (Unreliable),0
,"Butte County, CA",6007,Male,M,2008,2008,White,2106-3,1097,97446,1125.8,989.1,0
,"Butte County, CA",6007,Male,M,2009,2009,American Indian or Alaska Native,1002-5,14,3125,448.0 (Unreliable),607.0 (Unreliable),0
,"Butte County, CA",6007,Male,M,2009,2009,Asian or Pacific Islander,A-PI,17,5316,319.8 (Unreliable),767.0 (Unreliable),0
,"Butte County, CA",6007,Male,M,2009,2009,Black or African American,2054-5,10,2726,366.8 (Unreliable),765.2 (Unreliable),0
,"Butte County, CA",6007,Male,M,2009,2009,White,2106-3,1028,97617,1053.1,920.8,0
,"Butte County, CA",6007,Male,M,2010,2010,American Indian or Alaska Native,1002-5,15,3193,469.8 (Unreliable),732.8 (Unreliable),0
,"Butte County, CA",6007,Male,M,2010,2010,Asian or Pacific Islander,A-PI,16,5455,293.3 (Unreliable),804.1 (Unreliable),0
,"Butte County, CA",6007,Male,M,2010,2010,Black or African American,2054-5,11,2768,397.4 (Unreliable),674.4 (Unreliable),0
,"Butte County, CA",6007,Male,M,2010,2010,White,2106-3,1040,97515,1066.5,923.0,0
,"Butte County, CA",6007,Male,M,2011,2011,American Indian or Alaska Native,1002-5,22,3201,687.3,963.2,0
,"Butte County, CA",6007,Male,M,2011,2011,Asian or Pacific Islander,A-PI,11,5635,195.2 (Unreliable),521.1 (Unreliable),0
,"Butte County, CA",6007,Male,M,2011,2011,Black or African American,2054-5,20,2899,689.9,1034.5,0
,"Butte County, CA",6007,Male,M,2011,2011,White,2106-3,1048,97204,1078.1,926.9,0
,"Butte County, CA",6007,Male,M,2012,2012,American Indian or Alaska Native,1002-5,19,3214,591.2 (Unreliable),769.2 (Unreliable),0
,"Butte County, CA",6007,Male,M,2012,2012,Asian or Pacific Islander,A-PI,21,5731,366.4,745.9,0
,"Butte County, CA",6007,Male,M,2012,2012,Black or African American,2054-5,15,2951,508.3 (Unreliable),926.5 (Unreliable),0
