,Unnamed: 0,Year,ICD-10 113 Cause List,ICD-10 113 Cause List Code,County,County Code,Race,Race Code,Gender,Gender Code,Deaths,Population,Crude Rate
0,0,2006,Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,Asian or Pacific Islander,A-PI,Female,F,15.0,204139.0,Unreliable
1,1,2006,Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,Asian or Pacific Islander,A-PI,Male,M,13.0,189589.0,Unreliable
2,2,2006,Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,Black or African American,2054-5,Female,F,30.0,112599.0,26.6
3,3,2006,Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,Black or African American,2054-5,Male,M,21.0,98714.0,21.3
4,4,2006,Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,White,2106-3,Female,F,73.0,410372.0,17.8
5,5,2006,Influenza and pneumonia (J09-J18),GR113-076,Alameda,6001.0,White,2106-3,Male,M,81.0,411279.0,19.7
6,8,2006,Influenza and pneumonia (J09-J18),GR113-076,Contra Costa,6013.0,Black or African American,2054-5,Female,F,11.0,55761.0,Unreliable
7,9,2006,Influenza and pneumonia (J09-J18),GR113-076,Contra Costa,6013.0,White,2106-3,Female,F,92.0,370516.0,24.8
8,10,2006,Influenza and pneumonia (J09-J18),GR113-076,Contra Costa,6013.0,White,2106-3,Male,M,77.0,361925.0,21.3
9,13,2006,Influenza and pneumonia (J09-J18),GR113-076,Fresno,6019.0,White,2106-3,Female,F,96.0,355993.0,27
10,14,2006,Influenza and pneumonia (J09-J18),GR113-076,Fresno,6019.0,White,2106-3,Male,M,68.0,356912.0,19.1
11,15,2006,Influenza and pneumonia (J09-J18),GR113-076,Humboldt,6023.0,White,2106-3,Female,F,15.0,58862.0,Unreliable
12,16,2006,Influenza and pneumonia (J09-J18),GR113-076,Humboldt,6023.0,White,2106-3,Male,M,12.0,58316.0,Unreliable
13,17,2006,Influenza and pneumonia (J09-J18),GR113-076,Kern,6029.0,White,2106-3,Female,F,67.0,326194.0,20.5
14,18,2006,Influenza and pneumonia (J09-J18),GR113-076,Kern,6029.0,White,2106-3,Male,M,72.0,346831.0,20.8
15,19,2006,Influenza and pneumonia (J09-J18),GR113-076,Los Angeles,6037.0,Asian or Pacific Islander,A-PI,Female,F,131.0,745149.0,17.6
16,20,2006,Influenza and pneumonia (J09-J18),GR113-076,Los Angeles,6037.0,Asian or Pacific Islander,A-PI,Male,M,152.0,669290.0,22.7
17,21,2006,Influenza and pneumonia (J09-J18),GR113-076,Los Angeles,6037.0,Black or African American,2054-5,Female,F,130.0,523263.0,24.8
18,22,2006,Influenza and pneumonia (J09-J18),GR113-076,Los Angeles,6037.0,Black or African American,2054-5,Male,M,120.0,462314.0,26
19,23,2006,Influenza and pneumonia (J09-J18),GR113-076,Los Angeles,6037.0,White,2106-3,Female,F,934.0,3596452.0,26
20,24,2006,Influenza and pneumonia (J09-J18),GR113-076,Los Angeles,6037.0,White,2106-3,Male,M,809.0,3599903.0,22.5
